filepath,class_name,label,is_augmented
dataset_procesado\con_augmentacion\cancer\007_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\007_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\007_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\007_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\007_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\007_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\008_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\008_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\008_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\008_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\008_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\008_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\009_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\009_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\009_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\009_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\009_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\009_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\010_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\010_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\010_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\010_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\010_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\010_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\011_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\011_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\011_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\011_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\011_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\011_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\012_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\012_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\012_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\012_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\012_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\012_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\013_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\013_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\013_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\013_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\013_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\013_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\014_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\014_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\014_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\014_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\014_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\014_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\015_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\015_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\015_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\015_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\015_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\015_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\016_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\016_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\016_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\016_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\016_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\016_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\017_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\017_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\017_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\017_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\017_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\017_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\018_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\018_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\018_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\018_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\018_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\018_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\01960a64-cfe8-444d-bbc5-575c15389a21_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\01960a64-cfe8-444d-bbc5-575c15389a21_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\01960a64-cfe8-444d-bbc5-575c15389a21_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\01960a64-cfe8-444d-bbc5-575c15389a21_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\01960a64-cfe8-444d-bbc5-575c15389a21_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\01960a64-cfe8-444d-bbc5-575c15389a21_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\019_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\019_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\019_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\019_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\019_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\019_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\020_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\020_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\020_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\020_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\020_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\020_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\021_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\021_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\021_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\021_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\021_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\021_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\022_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\022_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\022_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\022_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\022_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\022_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\023_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\023_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\023_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\023_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\023_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\023_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\024_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\024_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\024_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\024_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\024_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\024_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\025_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\025_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\025_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\025_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\025_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\025_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\026_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\026_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\026_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\026_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\026_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\026_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\027_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\027_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\027_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\027_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\027_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\027_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\028_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\028_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\028_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\028_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\028_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\028_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\029_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\029_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\029_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\029_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\029_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\029_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\030_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\030_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\030_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\030_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\030_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\030_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\031_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\031_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\031_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\031_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\031_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\031_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\032_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\032_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\032_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\032_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\032_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\032_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\033_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\033_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\033_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\033_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\033_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\033_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\034_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\034_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\034_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\034_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\034_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\034_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\035_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\035_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\035_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\035_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\035_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\035_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\036_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\036_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\036_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\036_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\036_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\036_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\037_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\037_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\037_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\037_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\037_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\037_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\038_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\038_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\038_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\038_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\038_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\038_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\039_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\039_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\039_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\039_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\039_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\039_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\040_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\040_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\040_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\040_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\040_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\040_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\041_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\041_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\041_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\041_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\041_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\041_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\042_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\042_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\042_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\042_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\042_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\042_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\043_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\043_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\043_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\043_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\043_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\043_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\044_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\044_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\044_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\044_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\044_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\044_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\045_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\045_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\045_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\045_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\045_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\045_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\046_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\046_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\046_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\046_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\046_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\046_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\047_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\047_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\047_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\047_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\047_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\047_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\048_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\048_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\048_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\048_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\048_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\048_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\049_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\049_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\049_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\049_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\049_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\049_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\050_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\050_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\050_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\050_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\050_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\050_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\051_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\051_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\051_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\051_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\051_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\051_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\052_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\052_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\052_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\052_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\052_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\052_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\053_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\053_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\053_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\053_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\053_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\053_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\054_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\054_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\054_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\054_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\054_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\054_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\055_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\055_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\055_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\055_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\055_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\055_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\056_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\056_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\056_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\056_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\056_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\056_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\057_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\057_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\057_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\057_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\057_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\057_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\058_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\058_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\058_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\058_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\058_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\058_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\059_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\059_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\059_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\059_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\059_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\059_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\060_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\060_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\060_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\060_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\060_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\060_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\061_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\061_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\061_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\061_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\061_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\061_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\062_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\062_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\062_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\062_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\062_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\062_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\063_aug01.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\063_aug02.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\063_aug03.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\063_aug04.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\063_aug05.png,cancer,1,True
dataset_procesado\con_augmentacion\cancer\063_orig.png,cancer,1,False
dataset_procesado\con_augmentacion\cancer\064_aug01.png,cancer,1,True
